x,f(x)
-6.533185307179586,undefined
-6.433185307179587,undefined
-6.333185307179587,undefined
-6.233185307179587,undefined
-6.133185307179588,undefined
-6.033185307179588,undefined
-5.933185307179588,undefined
-5.833185307179589,undefined
-5.733185307179589,undefined
-5.633185307179589,undefined
-5.53318530717959,undefined
-5.43318530717959,undefined
-5.3331853071795905,undefined
-5.233185307179591,undefined
-5.133185307179591,undefined
-5.033185307179592,undefined
-4.933185307179592,undefined
-4.833185307179592,undefined
-4.733185307179593,undefined
-4.633185307179593,undefined
-4.533185307179593,undefined
-4.433185307179594,undefined
-4.333185307179594,undefined
-4.233185307179594,undefined
-4.133185307179595,undefined
-4.033185307179595,undefined
-3.933185307179595,undefined
-3.833185307179595,undefined
-3.733185307179595,undefined
-3.6331853071795948,undefined
-3.5331853071795947,undefined
-3.4331853071795946,undefined
-3.3331853071795945,undefined
-3.2331853071795944,undefined
-3.1331853071795943,undefined
-3.0331853071795942,undefined
-2.933185307179594,undefined
-2.833185307179594,undefined
-2.733185307179594,undefined
-2.633185307179594,undefined
-2.533185307179594,undefined
-2.4331853071795937,undefined
-2.3331853071795936,undefined
-2.2331853071795935,undefined
-2.1331853071795934,undefined
-2.0331853071795933,undefined
-1.9331853071795932,undefined
-1.8331853071795932,undefined
-1.733185307179593,undefined
-1.633185307179593,undefined
-1.533185307179593,undefined
-1.4331853071795928,undefined
-1.3331853071795927,undefined
-1.2331853071795926,undefined
-1.1331853071795925,undefined
-1.0331853071795924,undefined
-0.9331853071795925,undefined
-0.8331853071795925,undefined
-0.7331853071795925,undefined
-0.6331853071795925,undefined
-0.5331853071795926,undefined
-0.4331853071795926,undefined
-0.3331853071795926,undefined
-0.2331853071795926,undefined
-0.1331853071795926,undefined
-0.03318530717959259,undefined
0.06681469282040742,-2.7058322702242137
0.16681469282040742,-1.7908717064835922
0.26681469282040743,-1.3212008959157382
0.36681469282040746,-1.0028984826397898
0.46681469282040744,-0.761822903442959
0.5668146928204074,-0.5677228490943802
0.6668146928204074,-0.40524309352461496
0.7668146928204074,-0.2655101067782492
0.8668146928204074,-0.14293005881706927
0.9668146928204073,-0.03374843289509053
1.0668146928204074,0.06467728602841032
1.1668146928204075,0.15427755133907692
1.2668146928204076,0.23650563398926425
1.3668146928204077,0.3124829909966612
1.4668146928204078,0.3830931740863318
1.5668146928204079,0.4490447003634813
1.666814692820408,0.5109144355143554
1.766814692820408,0.5691783167688255
1.8668146928204081,0.6242336056541555
1.9668146928204082,0.6764153269469059
2.066814692820408,0.7260086263762103
2.166814692820408,0.7732582056630584
2.2668146928204083,0.8183756270376922
2.3668146928204084,0.8615450396853684
2.4668146928204084,0.9029277203443186
2.5668146928204085,0.9426657110559641
2.6668146928204086,0.980884761278767
2.7668146928204087,1.0176967281322489
2.866814692820409,1.0532015502885816
2.966814692820409,1.087488883281516
3.066814692820409,1.120639463619914
3.166814692820409,1.152726253947049
3.266814692820409,1.1838154101104588
3.3668146928204092,1.2139671023770107
3.4668146928204093,1.2432362164196458
3.5668146928204094,1.271672954598467
3.6668146928204095,1.299323354084586
3.7668146928204096,1.326229735256871
3.8668146928204097,1.3524310913374162
3.9668146928204098,1.3779634282708426
4.06681469282041,1.402860062282513
4.1668146928204095,1.4271518812860011
4.266814692820409,1.450867575285435
4.366814692820409,1.474033840083612
4.466814692820408,1.4966755579233058
4.566814692820408,1.5188159581268523
4.666814692820408,1.5404767603341716
4.766814692820407,1.5616783025534209
4.866814692820407,1.5824396559165737
4.966814692820407,1.6027787277627479
5.066814692820406,1.6227123544455888
5.166814692820406,1.6422563850699856
5.266814692820406,1.66142575720156
5.366814692820405,1.680234565455037
5.466814692820405,1.6986961237503935
5.5668146928204045,1.7168230219256746
5.666814692820404,1.73462717730935
5.766814692820404,1.7521198817813874
5.8668146928204035,1.769311844788432
5.966814692820403,1.7862132327234461
6.066814692820403,1.8028337050324177
6.166814692820402,1.8191824473692184
6.266814692820402,1.8352682020835633
6.366814692820402,1.8510992962954076
6.466814692820401,1.8666836677815162
