x,f(x)
-6.533185307179586,1.0320850239843842
-6.433185307179587,1.0113564426736634
-6.333185307179587,1.0012513034084618
-6.233185307179587,1.001251303408462
-6.133185307179588,1.0113564426736648
-6.033185307179588,1.0320850239843862
-5.933185307179588,1.0645401833834938
-5.833185307179589,1.1105594069737255
-5.733185307179589,1.1729867870360204
-5.633185307179589,1.2561491664854882
-5.53318530717959,1.3667011246722196
-5.43318530717959,1.5151902078636863
-5.3331853071795905,1.719149169217999
-5.233185307179591,2.0097632373047483
-5.133185307179591,2.4480556803301536
-5.033185307179592,3.171357693770053
-4.933185307179592,4.566070622195845
-4.833185307179592,8.298564466608529
-4.733185307179593,48.08888101737419
-4.633185307179593,-12.638887341657027
-4.533185307179593,-5.610222320803932
-4.433185307179594,-3.6285754358962987
-4.333185307179594,-2.7013824469237817
-4.233185307179594,-2.1688554076237394
-4.133185307179595,-1.8269589759423155
-4.033185307179595,-1.5919165718319042
-3.933185307179595,-1.4230559143589896
-3.833185307179595,-1.2983113769343202
-3.733185307179595,-1.2047415709356912
-3.6331853071795948,-1.1343241783640419
-3.5331853071795947,-1.0818970318777466
-3.4331853071795946,-1.0440732145844365
-3.3331853071795945,-1.0186388468373195
-3.2331853071795944,-1.0042093195624566
-3.1331853071795943,-1.0000353427777258
-3.0331853071795942,-1.0059049881124134
-2.933185307179594,-1.022116893876534
-2.833185307179594,-1.0495181396440685
-2.733185307179594,-1.0896160067850902
-2.633185307179594,-1.1447923027959672
-2.533185307179594,-1.2186808803719225
-2.4331853071795937,-1.3168307070800822
-2.3331853071795936,-1.4479090889452935
-2.2331853071795935,-1.626009976822271
-2.1331853071795934,-1.8754380693821684
-2.0331853071795933,-2.2417127191646595
-1.9331853071795932,-2.8208023393258284
-1.8331853071795932,-3.8552209879981154
-1.733185307179593,-6.185201649031286
-1.633185307179593,-16.038874483270384
-1.533185307179593,26.59422195796471
-1.4331853071795928,7.289845840058544
-1.3331853071795927,4.248423271810503
-1.2331853071795926,3.019014475586481
-1.1331853071795925,2.3597326665388234
-1.0331853071795924,1.9527989846268263
-0.9331853071795925,1.6798886559369246
-0.8331853071795925,1.4869406414136637
-0.7331853071795925,1.3458109007283592
-0.6331853071795925,1.2404688494320002
-0.5331853071795926,1.1611806839823215
-0.4331853071795926,1.1017665647885246
-0.3331853071795926,1.0581950457112423
-0.2331853071795926,1.0278175972305992
-0.1331853071795926,1.0089351910232005
-0.03318530717959259,1.000550885082788
0.06681469282040742,1.00223626103746
0.16681469282040742,1.0140767401704986
0.26681469282040743,1.0366823549257955
0.36681469282040746,1.0712665766632774
0.46681469282040744,1.1198128724921577
0.5668146928204074,1.1853740090367293
0.6668146928204074,1.2725953807463435
0.7668146928204074,1.3886489064194845
0.8668146928204074,1.5449792251075125
0.9668146928204073,1.7607984428788492
1.0668146928204074,2.070753755966203
1.1668146928204075,2.5439947411832473
1.2668146928204076,3.340887588713388
1.3668146928204077,4.936564843665648
1.4668146928204078,9.634435115654362
1.5668146928204079,251.15383499512586
1.666814692820408,-10.430694497368775
1.766814692820408,-5.134379550554256
1.8668146928204081,-3.4280142411963634
1.9668146928204082,-2.5923664209452078
2.066814692820408,-2.1011602111443706
2.166814692820408,-1.7814140095388733
2.2668146928204083,-1.5596554148449264
2.3668146928204084,-1.3994305252473211
2.4668146928204084,-1.2806627749829589
2.5668146928204085,-1.1914505780611642
2.6668146928204086,-1.12436076984213
2.7668146928204087,-1.074588330279646
2.866814692820409,-1.0389767256461997
2.966814692820409,-1.015470517178259
3.066814692820409,-1.002802400637112
3.166814692820409,-1.0003181599633835
3.266814692820409,-1.0078918332802496
3.3668146928204092,-1.0259098196168217
3.4668146928204093,-1.0553200857615805
3.5668146928204094,-1.0977585143130801
3.6668146928204095,-1.1557852529819117
3.7668146928204096,-1.2332993006946467
3.8668146928204097,-1.3362692747293363
3.9668146928204098,-1.4740699658487684
4.06681469282041,-1.6620758679423429
4.1668146928204095,-1.927119820492947
4.266814692820409,-2.3203139192232274
4.366814692820409,-2.952142208222297
4.466814692820408,-4.113306412561144
4.566814692820408,-6.893667471262372
4.666814692820408,-21.949794646196846
4.766814692820407,18.38274262145908
4.866814692820407,6.501414952743306
4.966814692820407,3.9731470869579617
5.066814692820406,2.8814140015432517
5.166814692820406,2.2781825816707726
5.266814692820406,1.899497127974744
5.366814692820405,1.6428354078158736
5.466814692820405,1.4601304409866285
5.5668146928204045,1.3259189121739896
5.666814692820404,1.2255173912636204
5.766814692820404,1.1499317467540842
5.8668146928204035,1.0934185741712636
5.966814692820403,1.0522208284118346
6.066814692820403,1.0238735997182922
6.166814692820402,1.0068094775543008
6.266814692820402,1.0001340134718446
6.366814692820402,1.0035071566112996
6.466814692820401,1.0171000484220087
